,train_loss,train_rmse,train_mape,valid_loss,valid_rmse,valid_mape
83,14.888938,24.31241,0.103894,15.0482,24.114946,0.103216
84,14.838417,24.252097,0.102281,15.080606,24.123216,0.103963
85,14.848989,24.210667,0.107083,15.034992,24.003784,0.111169
86,14.854114,24.212625,0.108532,15.09927,24.057119,0.117907
87,14.777308,24.108277,0.108623,15.112059,24.131432,0.103706
88,14.780543,24.143839,0.105216,14.933378,23.984526,0.102131
89,14.786367,24.131583,0.107059,15.203694,24.164443,0.119488
90,14.719364,24.066574,0.104606,15.206172,24.175774,0.10388
91,14.77044,24.145399,0.102685,14.962924,24.043487,0.1061
92,14.709374,24.029699,0.103717,14.907058,24.011302,0.103008
93,14.671918,23.987022,0.104822,14.983027,24.104788,0.102842
94,14.645256,23.996816,0.101168,15.059954,24.154805,0.103799
95,14.653665,23.941296,0.106333,14.948159,23.985912,0.113727
96,14.585343,23.835669,0.108884,15.223248,24.248318,0.119515
97,14.623556,23.889328,0.107745,15.019017,24.020871,0.10335
98,14.624616,23.912191,0.10509,14.939137,23.985248,0.108019
99,14.571515,23.868606,0.102104,14.832528,23.90412,0.101516
100,14.588901,23.900579,0.100924,15.010276,24.079231,0.10577
101,14.588515,23.828528,0.106445,15.04677,24.135243,0.111088
102,14.569057,23.830521,0.105066,14.78861,23.851797,0.107752
103,14.550889,23.807869,0.104619,14.873885,23.926034,0.100551
104,14.497546,23.750376,0.10375,14.846358,23.906235,0.101953
105,14.454583,23.724805,0.100694,14.837024,23.906291,0.102715
106,14.501837,23.761887,0.101149,14.845546,23.937048,0.102428
107,14.480519,23.685736,0.10706,14.867076,24.004635,0.103676
108,14.381267,23.581748,0.106665,14.886146,24.021257,0.10268
109,14.467922,23.720235,0.100131,14.985031,24.107304,0.103948
110,14.39309,23.613627,0.102808,14.925792,23.947494,0.112719
111,14.398288,23.606539,0.103672,14.765515,23.814066,0.102269
112,14.417157,23.643668,0.100872,14.843234,23.975101,0.101654
113,14.346283,23.535024,0.104578,14.861652,23.969104,0.102824
114,14.382226,23.587034,0.102623,14.745801,23.87976,0.101262
115,14.373243,23.582076,0.10125,14.880272,23.996897,0.104519
116,14.35361,23.557872,0.100946,14.845036,23.948016,0.108781
117,14.365891,23.558276,0.102546,14.750288,23.891366,0.103785
118,14.32121,23.533655,0.099698,14.701925,23.824549,0.104315
119,14.294395,23.4752,0.102517,15.025267,24.07578,0.112825
120,14.259339,23.45379,0.100829,14.754442,23.863249,0.100991
121,14.285657,23.466084,0.101809,14.722315,23.875056,0.100772
122,14.258113,23.412122,0.102826,14.846246,23.906936,0.111867
123,14.2473,23.435917,0.100114,14.672938,23.761647,0.100502
124,14.233019,23.376948,0.104153,14.641546,23.786211,0.102369
125,14.204526,23.369156,0.101424,14.635227,23.770972,0.099637
126,14.219598,23.397594,0.099219,14.643727,23.771353,0.10258
127,14.201685,23.374719,0.098515,14.641147,23.728176,0.101624
128,14.232965,23.368114,0.099777,14.639625,23.778576,0.102884
129,14.188237,23.359287,0.099057,14.743676,23.807815,0.109238
130,14.143072,23.269583,0.101545,14.74269,23.777671,0.102479
131,14.136998,23.272992,0.099175,14.721225,23.903651,0.101057
132,14.156557,23.288513,0.10116,14.599104,23.673961,0.106189
133,14.099988,23.197665,0.103328,14.848377,23.945566,0.113224
134,14.048377,23.15725,0.101399,14.570726,23.688393,0.107983
135,14.136929,23.268534,0.098904,14.685879,23.829621,0.101418
136,14.140362,23.27001,0.100245,14.5772,23.685914,0.100934
137,14.061744,23.170687,0.100231,14.654043,23.736568,0.115821
138,14.05124,23.150214,0.100322,14.668595,23.827377,0.10107
139,14.084044,23.176624,0.101319,14.60555,23.705872,0.112312
140,14.022599,23.13389,0.098533,14.81734,23.95915,0.102813
141,14.038053,23.121217,0.102343,14.675489,23.789587,0.11311
142,14.019825,23.116309,0.098798,14.619851,23.761602,0.100442
143,14.006303,23.086111,0.101205,14.590294,23.649324,0.106743
144,14.010547,23.107166,0.098143,14.715767,23.82547,0.102125
145,13.999387,23.102138,0.098308,14.565706,23.719262,0.100603
146,14.017096,23.131537,0.095872,14.676432,23.709987,0.106201
147,13.987441,23.089617,0.096408,14.641967,23.748338,0.104274
148,13.954921,23.007753,0.100697,14.660283,23.823796,0.10551
149,13.89023,22.934493,0.101024,14.662017,23.744934,0.110751
